System;Link;Star/Planet;Discovery;Spectral Type;Distance [pc];Mass Ratio;a_binary [au];e_sec;Number of Planets;Planet Motion Type;m1 [m_sun];m2  [m_sun];Comments;Minimum Mass [M_J];Semi-major axis [au];Orbital Period [d];Eccentricity;Argument of Perihelion [deg];Radius [R_J];Inclination [deg];Detection Method
WASP-145 Ab B;http://exoplanet.eu/catalog/wasp-145_a_b/;0;2019;K2V / ?;93.00;;470.0;;1;S ;0.76;;;;;;;;;;
WASP-145 b;http://exoplanet.eu/catalog/wasp-145_a_b/;1;2019;;;;;;;;;;;0.890;0.026;;0.0;;0.900;83.300;transit
Kepler-132  Ab Bcde;http://exoplanet.eu/catalog/kepler-132_b/;0;2014;G2 / G?;500.00;;450.0;;4;S;;;The position of the third and fourth planet is unclear;;;;;;;;
Kepler-132 b;http://exoplanet.eu/catalog/kepler-132_b/;1;2014;;;;;;;;;;;;0.067;6.178;;;0.108;;transit
Kepler-132 c;http://exoplanet.eu/catalog/kepler-132_c/;1;2014;;;;;;;;;;;;0.068;6.415;;;1.18;;transit
Kepler-132 d;http://exoplanet.eu/catalog/kepler-132_d/;1;2014;;;;;;;;;;;;0.136;18.01;;;0.138;;transit
Kepler-132 e;http://exoplanet.eu/catalog/kepler-132_e/;1;2016;;;;;;;;;;;;;110.29;;;0.105;;transit
HD 180617 Ab B(VB 10) / GJ 752;http://exoplanet.eu/catalog/gj_752_a_b/;0;2018;M2.5 V / M8V;5.91;0.148;444.0;;1;S;0.45;0.078;;;;;;;;;
HD 180617 b;http://exoplanet.eu/catalog/gj_752_a_b/;1;2018;;;;;;;;;;;0.038;0.336;105.90;0.160;269.00;;;radial velocity
HD 109749 Ab B;http://exoplanet.eu/catalog/hd_109749_b/;0;2005;G3VI / ?;59.00;0.415;490.0;;1;S;1.1;0.78;;;;;;;;;
HD 109749 b;http://exoplanet.eu/catalog/hd_109749_b/;1;2005;;;;;;;;;;;0.28;0.0635;5.24;0.0451;72.3;;;radial velocity
Kepler-450 Ab B / KOI-279;http://exoplanet.eu/catalog/kepler-450_b/;0;2015;? / ?;462.00;0.332;417.0;;3;S;1.35;0.67;;;;;;;;;
Kepler-450 b;http://exoplanet.eu/catalog/kepler-450_b/;1;2015;;;;;;;;;;;;0.2010;28.4549;0.020;;0.5480;;transit
Kepler-450 c;http://exoplanet.eu/catalog/kepler-450_c/;1;2015;;;;;;;;;;;;0.1340;15.4131;0.020;;0.2340;;transit
Kepler-450 d;http://exoplanet.eu/catalog/kepler-450_d/;1;2015;;;;;;;;;;;;0.0830;7.5146;0.140;;0.0750;;transit
GJ 414 Ab B / HD97101;http://exoplanet.eu/catalog/gj_414_a_b/;0;2020;K7V / M2V ;11.89;0.454;408.0;;2;S;0.65;0.54;;;;;;;;;
GJ 414 b;http://exoplanet.eu/catalog/gj_414_a_b/;1;2020;;;;;;;;;;;0.02762;0.240;50.82;0.48;132.0;0.2632;;radial velocity
GJ 414 c;http://exoplanet.eu/catalog/gj_414_a_c/;1;2020;;;;;;;;;;;0.17705;1.43;748.30;0.093;91.0;0.7833;;radial velocity
HD 23472 Abc B;http://exoplanet.eu/catalog/hd_23472_b/;0;2018-2021;K3.5V / M6;39.10;0.157;374.0;;3;S;0.75;0.14;Fontanive. C. & Bardalez Gagliuffi. D. 2021 FrASS;;;;;;;;
HD 23472 b;http://exoplanet.eu/catalog/hd_23472_b/;1;2018;;;;;;;;;;;0.05638;0.1210;17.667;0.00;;0.1670;;transit
HD 23472 c;http://exoplanet.eu/catalog/hd_23472_c/;1;2018;;;;;;;;;;;0.05405;0.1700;29.625;0.00;;0.1917;;transit
NGTS-10 Ab B;http://exoplanet.eu/catalog/ngts-10_b/;0;2021;K5V / ?;325.00;0.481;364.0;;1;S;0.70;0.67;;;;;;;;;
NGTS-10 b;http://exoplanet.eu/catalog/ngts-10_b/;1;2021;;;;;;;;;;;2.162;0.0143;0.7669;0.00;;1.205;79.0;transit
HD 133131 Abc Bb;http://www.openexoplanetcatalogue.com/planet/HD%20133131%20A%20b/;0;2016;G2V / G2;47.00;0.495;360.0;;3;S;0.95;0.93;system with planets on both stars;;;;;;;;
HD 133131 Ab;http://exoplanet.eu/catalog/hd_133131_a_b/;1;2016;;;;;;;;;;;1.43;1.4400;649.0;0.32;;;;radial velocity
HD 133131 Ac;http://exoplanet.eu/catalog/hd_133131_a_c/;1;2016;;;;;;;;;;;0.48;4.3600;3407.0;0.47;;;;radial velocity
HD 133131 Bb;http://exoplanet.eu/catalog/hd_133131_b_b/;1;2016;;;;;;;;;;;2.50;;6119.0;0.62;;;;radial velocity
TOI-732 b (LP 729-54 b);http://exoplanet.eu/catalog/ltt_3780_b/;0;2020;M4V / ?;21.98;0.253;354.0;;1;S;0.40;0.14;;;;;;;;;
TOI-732 b;http://exoplanet.eu/catalog/ltt_3780_b/;1;2020;;;;;;;;;;;0.00982;0.0120;0.7683881;0.064;251;0.11883;85.9;transit
TOI-732 c;http://exoplanet.eu/catalog/ltt_3780_c/;1;2020;;;;;;;;;;;0.0267;0.0770;12.252048;0.115;250;0.2050;89.080;transit
HD 106515 A b;http://exoplanet.eu/catalog/hd_106515_a_b/;0;2011;G5 / G5;35.20;0.492;345.0;0.420;1;S;0.91;0.88;update Rica F. 2017;;;;;;;;
HD 106515 b;http://exoplanet.eu/catalog/hd_106515_a_b/;1;2011;;;;;;;;;;;9.61;4.59;3630.0;0.572;123.8;;;radial velocity
