System;Link;Star/Planet;Discovery;Spectral Type;Distance [pc];Mass Ratio;a_binary [au];e_sec;Number of Planets;Planet Motion Type;m1 [m_sun];m2  [m_sun];Comments;Minimum Mass [M_J];Semi-major axis [au];Orbital Period [d];Eccentricity;Argument of Perihelion [deg];Radius [R_J];Inclination [deg];Detection Method
HAT-P-4 b / TYC 2569-744-1;https://academic.oup.com/mnras/article/439/1/1063/1749653;0;2007/2014;G0V / G2V;310.00;;28446.0;;1;S;1.24;1.17;;;;;;;;;
HAT-P-4 b;https://academic.oup.com/mnras/article/439/1/1063/1749654;1;2007/2014;;;;;;;;;;;0.68;0.0446;3.0565;0.00;;1.27;89.67;transit
CoRoT-7 Abc B;http://exoplanet.eu/catalog/corot-7_b/;0;2009/2019;KoV / ?;250.00;;12160.0;;2;S;0.93;;Fontanive. C. & Bardalez Gagliuffi. D. 2021 FrASS;;;;;;;;
CoRoT-7 b;http://exoplanet.eu/catalog/corot-7_b/;1;2009;;;;;;;;;;;0.0149;0.0172;0.853585;0.12;;0.136;80.1;transit
CoRoT-7 c;http://exoplanet.eu/catalog/corot-7_c/;1;2009;;;;;;;;;;;0.04266;0.046;3.698;0.12;;;;radial velocity
HD 38529 Abc B;http://exoplanet.eu/catalog/hd_38529_b/;0;2000-2002;G4VI / M3.0V;40.00;0.169;12042.0;;2;S;1.48;0.3;Debris disk (>86 AU);;;;;;;;
HD 38529 b;http://exoplanet.eu/catalog/hd_38529_b/;1;2000;;;;;;;;;;;0.87;0.131;14.31;0.25;95.9;;57.0;radial velocity
HD 38529 c;http://exoplanet.eu/catalog/hd_38529_c/;1;2002;;;;;;;;;;;17.7;3.695;2134.76;0.36;22.52;;48.3;radial velocity
WASP-29 Ab B;http://exoplanet.eu/catalog/wasp-29_b/;0;2010-2021;K4V / M3;80.00;0.317;10994.0;;1;S;0.82;0.38;Fontanive. C. & Bardalez Gagliuffi. D. 2021 FrASS;;;;;;;;
WASP-29 b;http://exoplanet.eu/catalog/wasp-29_b/;1;2010;;;;;;;;;;;0.2429;0.046;3.923;0.03;;0.841;88.8;transit
WASP-59 Ab B;http://exoplanet.eu/catalog/wasp-59_b/;0;2011-2021;K5V / K7;125.00;0.463;9512.0;;1;S;0.72;0.62;Fontanive. C. & Bardalez Gagliuffi. D. 2021 FrASS;;;;;;;;
WASP-59 b;http://exoplanet.eu/catalog/wasp-59_b/;1;2011;;;;;;;;;;;0.70;;7.900;;;0.900;;transit
HD 20782 b / HD 20781 bc;http://exoplanet.eu/catalog/hd_20782_b/;0;2006;G2V / K0V;36.02;0.457;9080.0;0.240;3;S;1.0;0.84;;;;;;;;;
HD 20782 b;http://exoplanet.eu/catalog/hd_20782_b/;1;2006;;;;;;;;;;;1.9;1.381;591.9;0.97;147.7;;;radial velocity
HD 20781 b;http://exoplanet.eu/catalog/hd_20781_b/;1;2011;;;;;;;;;;;0.038;0.169;29.15;0.11;;;;radial velocity
HD 20781 c;http://exoplanet.eu/catalog/hd_20781_c/;1;2011;;;;;;;;;;;0.05;0.3456;85.13;0.28;;;;radial velocity
HIP 70849 Ab B;http://exoplanet.eu/catalog/hip_70849_b/;0;2009;K7V / T4.5;24.00;0.074;9000.0;;1;S;0.63;0.05;;;;;;;;;
HIP 70849 b ;http://exoplanet.eu/catalog/hip_70849_b/;1;2009;;;;;;;;;;;9.0;10.0;10000.0;0.6;;;;radial velocity
HIP 73990 Abc B / HD 133803;http://exoplanet.eu/catalog/hip_73990_b/;0;2015-2021;F2IV / M2;125.00;0.225;5234.0;;2;S;1.72;0.5;Fontanive. C. & Bardalez Gagliuffi. D. 2021 FrASS;;;;;;;;
HIP 73990 b;http://exoplanet.eu/catalog/hip_73990_b/;1;2015;;;;;;;;;;;21.0;20.0;;;;;;imaging
HIP 73990 c;http://exoplanet.eu/catalog/hip_73990_c/;1;2015;;;;;;;;;;;22.0;32.0;;;;;;imaging
HD 125612 Ab-d B;http://exoplanet.eu/catalog/hd_125612_b/;0;2007-2009;G3V / M4;52.82;0.143;4759.0;0.000;3;S;1.1;0.184;;;;;;;;;
HD 125612 b;http://exoplanet.eu/catalog/hd_125612_b/;1;2007;;;;;;;;;;;3.0;1.37;502.0;0.46;41.5;;;radial velocity
HD 125612 c;http://exoplanet.eu/catalog/hd_125612_c/;1;2009;;;;;;;;;;;0.058;0.05;4.1547;0.27;103.0;;;radial velocity
HD 125612 d;http://exoplanet.eu/catalog/hd_125612_d/;1;2009;;;;;;;;;;;7.2;4.2;3008.0;0.28;284.0;;;radial velocity
HD 222582 AB;http://exoplanet.eu/catalog/hd_222582_b/;0;1999;G5 / M3?;42.00;0.233;4746.0;;1;S;0.99;0.3;secondary (red dwarf);;;;;;;;
HD 222582 b;http://exoplanet.eu/catalog/hd_222582_b/;1;1999;;;;;;;;;;;7.75;1.35;572.38;0.725;319.01;;;radial velocity
XO-2 Sbc Nb;http://exoplanet.eu/catalog/xo-2s_b/;0;2007-2014;K0 / K0 V;150.00;0.500;4600.0;;3;S;0.98;0.98;XO-2S b;;;;;;;;
XO-2N b;http://exoplanet.eu/catalog/xo-2n_b/;1;2007;;;;;;;;;;;0.62;0.0369;2.6158;0.045;;0.973;88.7;transit
XO-2S b;http://exoplanet.eu/catalog/xo-2s_b/;1;2014;;;;;;;;;;;0.259;0.1344;18.157;0.18;311.9;;;radial velocity
XO-2S c;http://exoplanet.eu/catalog/xo-2s_c/;1;2014;;;;;;;;;;;1.37;0.4756;120.8;0.153;264.5;;;radial velocity
HD 147513 Ab B;http://exoplanet.eu/catalog/hd_147513_b/;0;2003;G3-G5V / DA2 VII;12.90;0.414;4451.0;;1;S;0.92;0.65;HD147513 B w. dwarf;;;;;;;;
HD 147513 b;http://exoplanet.eu/catalog/hd_147513_b/;1;2003;;;;;;;;;;;1.21;1.32;528.4;0.26;282.0;;;radial velocity
HD 213240 Ab C;http://exoplanet.eu/catalog/hd_213240_b/;0;2001;G0V / M;40.75;0.107;3898.0;;1;S;1.22;0.146;;;;;;;;;
HD 213240 b;http://exoplanet.eu/catalog/hd_213240_b/;1;2001;;;;;;;;;;;4.5;2.03;951.0;0.45;214.0;;;radial velocity
TOI-132 Ab B;http://exoplanet.eu/catalog/toi-132_b/;0;2019-2021;G8V / M4;164.47;;3231.0;;1;S;0.97;0.17;Fontanive. C. & Bardalez Gagliuffi. D. 2021 FrASS;;;;;;;;
TOI-132 b;http://exoplanet.eu/catalog/toi-132_b/;1;2019;;;;;;;;;;;0.0718;0.026;2.110;0.087;125.47;0.3060;84.630;transit
HD 13167 Ab B;http://exoplanet.eu/catalog/hd_13167_b/;0;2018-2021;G3V / M4;149.60;0.135;3001.0;;1;S;1.35;0.21;Fontanive. C. & Bardalez Gagliuffi. D. 2021 FrASS;;;;;;;;
HD 13167 b;http://exoplanet.eu/catalog/hd_13167_b/;1;2018;;;;;;;;;;;3.31;4.10;2613.0;0.563;265.0;1.1670;;radial velocity
K2-228 Ab B;http://exoplanet.eu/catalog/k2-228_b/;0;2018-2021;K6 / G3;142.40;0.397;2933.0;;1;S;0.71;1.08;Fontanive. C. & Bardalez Gagliuffi. D. 2021 FrASS;;;;;;;;
K2-228 b;http://exoplanet.eu/catalog/k2-228_b/;1;2018;;;;;;;;;;;;0.03;2.6983;;;0.1080;;transit
HD 190360 (Gl 777 Abc B);http://exoplanet.eu/catalog/hd_190360_b/;0;2003-2005;G6IV / M4.5V;15.89;0.161;2846.0;;2;S;1.04;0.2;secondary (red dwarf);;;;;;;;
HD 190360 b (Gl 777 Ab);http://exoplanet.eu/catalog/hd_190360_b/;1;2003;;;;;;;;;;;1.502;3.92;2891.0;0.36;12.4;;;radial velocity
HD 190360 c (Gl 777 Ac);http://exoplanet.eu/catalog/hd_190360_c/;1;2005;;;;;;;;;;;0.057;0.128;17.1;0.01;153.7;;;radial velocity
WASP-94 Ab Bb;http://www.openexoplanetcatalogue.com/planet/WASP-94%20A%20b/;0;2014;F8 / F9;180.00;0.490;2700.0;;2;S;1.29;1.24;system with planets on both stars;;;;;;;;
WASP-94 Ab;http://www.openexoplanetcatalogue.com/planet/WASP-94%20A%20b/;1;2014;;;;;;;;;;;0.45;0.055;3.95;0.13;;1.72;;transit
WASP-94 Bb;http://www.openexoplanetcatalogue.com/planet/WASP-94%20A%20b/;1;2014;;;;;;;;;;;0.618;0.0335;2.008;;;;;radial velocity
HD 89744 Abc B;http://exoplanet.eu/catalog/hd_89744_b/;0;2000/2013;F7V / L0V;40.00;0.054;2456.0;;2;S;1.40;0.08;2nd. (heavy brown dwarf);;;;;;;;
HD 89744 b;http://exoplanet.eu/catalog/hd_89744_b/;1;2000;;;;;;;;;;;7.2;0.88;256.0;0.7;195.0;;54.0;radial velocity
HD 89744 c;http://exoplanet.eu/catalog/hd_89744_c/;1;2013;;;;;;;;;;;3.2;0.44;85.2;;0.0;;;radial velocity
TOI-421 Abc B;http://exoplanet.eu/catalog/toi-421_b/;0;2020;G9V / M ;74.94;;2200.0;;2;S;0.852;;;;;;;;;;
TOI-421 b;http://exoplanet.eu/catalog/toi-421_b/;1;2020;;;;;;;;;;;0.05107;0.1182;16.06815;;;0.4612;88.300;transit
TOI-421 c;http://exoplanet.eu/catalog/toi-421_c/;1;2020;;;;;;;;;;;0.02218;0.0557;5.19676;;;0.2427;85.600;transit
HD 101930 Aa B;http://exoplanet.eu/catalog/hd_101930_b/;0;2005;K1V / M0-1;30.49;0.474;2200.0;;1;S;0.74;0.67;;;;;;;;;
HD 101930 b;http://exoplanet.eu/catalog/hd_101930_b/;1;2005;;;;;;;;;;;0.3;0.302;70.46;0.11;251.0;;;radial velocity
L2 Pup Ab + B;http://exoplanet.eu/catalog/l2_pup_b/;0;2016-2021;M5IIIe / M5;64.00;0.233;1998.0;;1;S;0.66;0.20;Fontanive. C. & Bardalez Gagliuffi. D. 2021 FrASS;;;;;;;;
